date,driver_name,vehicle,model_year,driver_id,stop_index,from_lat,from_lon,to_lat,to_lon,euro_class,from_label,to_label,distance_km,accumulated_distance_km,travel_time,accumulated_travel_time,arrival_time,lateness_status,to_geometry_type,confidence_score
01/03/2025,Nguyễn Văn An,Suzuki Super Carry Pro (Euro 2),2015,D-01,2,21.042776,105.80316,21.022285,105.814387,Euro 2,Company,Customer,5.144,6.934,00:15:34,00:21:29,01/03/2026 09:15,On Time,ROOFTOP,1
01/03/2025,Nguyễn Văn An,Suzuki Super Carry Pro (Euro 2),2015,D-01,3,21.022285,105.814387,21.033886,105.809835,Euro 2,Customer,Customer,2.541,9.475,00:08:29,00:29:58,01/03/2026 09:34,On Time,ROOFTOP,1
01/03/2025,Nguyễn Văn An,Suzuki Super Carry Pro (Euro 2),2015,D-01,4,21.033886,105.809835,21.046272,105.81105,Euro 2,Customer,Customer,2.325,11.8,00:07:18,00:37:16,01/03/2026 09:51,On Time,ROOFTOP,1
01/03/2025,Nguyễn Văn An,Suzuki Super Carry Pro (Euro 2),2015,D-01,5,21.046272,105.81105,21.041018,105.84456,Euro 2,Customer,Customer,3.863,15.663,00:12:47,00:50:03,01/03/2026 10:14,On Time,ROOFTOP,1
01/03/2025,Nguyễn Văn An,Suzuki Super Carry Pro (Euro 2),2015,D-01,6,21.041018,105.84456,21.028707,105.849943,Euro 2,Customer,Customer,1.93,17.593,00:10:12,01:00:15,01/03/2026 10:34,On Time,ROOFTOP,1
01/03/2025,Nguyễn Văn An,Suzuki Super Carry Pro (Euro 2),2015,D-01,7,21.028707,105.849943,21.035754,105.847144,Euro 2,Customer,Customer,0.927,18.52,00:06:38,01:06:53,01/03/2026 10:50,On Time,ROOFTOP,1
01/03/2025,Nguyễn Văn An,Suzuki Super Carry Pro (Euro 2),2015,D-01,8,21.035754,105.847144,21.025902,105.846127,Euro 2,Customer,Customer,1.131,19.651,00:06:12,01:13:05,01/03/2026 11:07,On Time,ROOFTOP,1
01/03/2025,Nguyễn Văn An,Suzuki Super Carry Pro (Euro 2),2015,D-01,9,21.025902,105.846127,21.032675,105.853737,Euro 2,Customer,Customer,1.63,21.281,00:10:31,01:23:36,01/03/2026 11:27,On Time,ROOFTOP,1
01/03/2025,Nguyễn Văn An,Suzuki Super Carry Pro (Euro 2),2015,D-01,10,21.032675,105.853737,21.031008,105.845098,Euro 2,Customer,Customer,1.435,22.716,00:09:09,01:32:45,01/03/2026 11:46,On Time,ROOFTOP,1
01/03/2025,Nguyễn Văn An,Suzuki Super Carry Pro (Euro 2),2015,D-01,11,21.031008,105.845098,21.011056,105.841589,Euro 2,Customer,Customer,3.43,26.146,00:13:03,01:45:48,01/03/2026 12:09,On Time,ROOFTOP,1
01/03/2025,Nguyễn Văn An,Suzuki Super Carry Pro (Euro 2),2015,D-01,12,21.011056,105.841589,21.018589,105.851874,Euro 2,Customer,Customer,1.98,28.126,00:06:45,01:52:33,01/03/2026 13:06,On Time,GEOMETRIC_CENTER,0.5
01/03/2025,Nguyễn Văn An,Suzuki Super Carry Pro (Euro 2),2015,D-01,13,21.018589,105.851874,21.032491,105.848015,Euro 2,Customer,Customer,1.879,30.005,00:12:31,02:05:04,01/03/2026 13:28,On Time,ROOFTOP,1
01/03/2025,Nguyễn Văn An,Suzuki Super Carry Pro (Euro 2),2015,D-01,14,21.032491,105.848015,21.034784,105.855774,Euro 2,Customer,Customer,1.67,31.675,00:10:31,02:15:35,01/03/2026 13:48,On Time,ROOFTOP,1
01/03/2025,Nguyễn Văn An,Suzuki Super Carry Pro (Euro 2),2015,D-01,15,21.034784,105.855774,21.034006,105.849297,Euro 2,Customer,Customer,2.757,34.432,00:13:38,02:29:13,01/03/2026 14:11,On Time,ROOFTOP,1
01/03/2025,Nguyễn Văn An,Suzuki Super Carry Pro (Euro 2),2015,D-01,16,21.034006,105.849297,21.022166,105.848872,Euro 2,Customer,Customer,1.743,36.175,00:08:46,02:37:59,01/03/2026 14:29,On Time,ROOFTOP,1
01/03/2025,Nguyễn Văn An,Suzuki Super Carry Pro (Euro 2),2015,D-01,17,21.022166,105.848872,21.033268,105.850897,Euro 2,Customer,Customer,1.73,37.905,00:12:25,02:50:24,01/03/2026 14:50,On Time,ROOFTOP,1
01/03/2025,Nguyễn Văn An,Suzuki Super Carry Pro (Euro 2),2015,D-01,18,21.033268,105.850897,21.022706,105.822677,Euro 2,Customer,Customer,4.9,42.805,00:21:01,03:11:25,01/03/2026 15:19,On Time,ROOFTOP,1
01/03/2025,Nguyễn Văn An,Suzuki Super Carry Pro (Euro 2),2015,D-01,19,21.022706,105.822677,21.033297,105.805126,Euro 2,Customer,Customer,2.797,45.602,00:08:33,03:19:58,01/03/2026 15:37,On Time,ROOFTOP,1
01/03/2025,Nguyễn Văn An,Suzuki Super Carry Pro (Euro 2),2015,D-01,20,21.033297,105.805126,21.031525,105.821242,Euro 2,Customer,Customer,2.347,47.949,00:07:06,03:27:04,01/03/2026 15:54,On Time,ROOFTOP,1
01/03/2025,Nguyễn Văn An,Suzuki Super Carry Pro (Euro 2),2015,D-01,21,21.031525,105.821242,21.03742,105.826689,Euro 2,Customer,Customer,3.292,51.241,00:09:04,03:36:08,01/03/2026 16:13,On Time,ROOFTOP,1
01/03/2025,Nguyễn Văn An,Suzuki Super Carry Pro (Euro 2),2015,D-01,22,21.03742,105.826689,21.03368,105.808805,Euro 2,Customer,Customer,4.008,55.249,00:12:03,03:48:11,01/03/2026 16:34,On Time,ROOFTOP,1
01/03/2025,Nguyễn Văn An,Suzuki Super Carry Pro (Euro 2),2015,D-01,23,21.03368,105.808805,21.039302,105.816033,Euro 2,Customer,Customer,2.075,57.324,00:06:24,03:54:35,01/03/2026 16:50,On Time,ROOFTOP,1
01/03/2025,Nguyễn Văn An,Suzuki Super Carry Pro (Euro 2),2015,D-01,24,21.039302,105.816033,21.031882,105.825029,Euro 2,Customer,Customer,3.347,60.671,00:08:21,04:02:56,01/03/2026 17:08,On Time,GEOMETRIC_CENTER,0.5
01/03/2025,Nguyễn Văn An,Suzuki Super Carry Pro (Euro 2),2015,D-01,25,21.031882,105.825029,21.037711,105.816341,Euro 2,Customer,Customer,1.856,62.527,00:04:58,04:07:54,01/03/2026 17:22,On Time,ROOFTOP,1
01/03/2025,Nguyễn Văn An,Suzuki Super Carry Pro (Euro 2),2015,D-01,26,21.037711,105.816341,21.043186,105.843718,Euro 2,Customer,Customer,3.817,66.344,00:08:43,04:16:37,01/03/2026 17:41,On Time,ROOFTOP,1
01/03/2025,Nguyễn Văn An,Suzuki Super Carry Pro (Euro 2),2015,D-01,27,21.043186,105.843718,21.031739,105.848271,Euro 2,Customer,Customer,2.064,68.408,00:06:39,04:23:16,01/03/2026 17:57,On Time,ROOFTOP,1
01/03/2025,Nguyễn Văn An,Suzuki Super Carry Pro (Euro 2),2015,D-01,28,21.031739,105.848271,21.037676,105.848004,Euro 2,Customer,Customer,1.163,69.571,00:04:12,04:27:28,01/03/2026 18:11,On Time,ROOFTOP,1
01/03/2025,Nguyễn Văn An,Suzuki Super Carry Pro (Euro 2),2015,D-01,29,21.037676,105.848004,21.04249,105.845061,Euro 2,Customer,Customer,1.145,70.716,00:03:57,04:31:25,01/03/2026 18:25,On Time,ROOFTOP,1
01/03/2025,Nguyễn Văn An,Suzuki Super Carry Pro (Euro 2),2015,D-01,30,21.04249,105.845061,21.035903,105.852397,Euro 2,Customer,Customer,1.558,72.274,00:05:18,04:36:43,01/03/2026 18:40,Late,ROOFTOP,1
01/03/2025,Nguyễn Văn An,Suzuki Super Carry Pro (Euro 2),2015,D-01,31,21.035903,105.852397,21.021338,105.852469,Euro 2,Customer,Customer,2.173,74.447,00:07:30,04:44:13,01/03/2026 18:57,Late,APPROXIMATE,0.25
01/03/2025,Nguyễn Văn An,Suzuki Super Carry Pro (Euro 2),2015,D-01,32,21.021338,105.852469,21.036111,105.853135,Euro 2,Customer,Customer,3.353,77.8,00:10:59,04:55:12,01/03/2026 19:18,Late,ROOFTOP,1
01/03/2025,Nguyễn Văn An,Suzuki Super Carry Pro (Euro 2),2015,D-01,33,21.036111,105.853135,21.03161,105.848474,Euro 2,Customer,Customer,2.031,79.831,00:06:44,05:01:56,01/03/2026 19:35,Late,GEOMETRIC_CENTER,0.5
01/03/2025,Nguyễn Văn An,Suzuki Super Carry Pro (Euro 2),2015,D-01,34,21.03161,105.848474,21.036636,105.852893,Euro 2,Customer,Customer,1.308,81.139,00:04:01,05:05:57,01/03/2026 19:49,Late,ROOFTOP,1
01/03/2025,Nguyễn Văn An,Suzuki Super Carry Pro (Euro 2),2015,D-01,35,21.036636,105.852893,21.030682,105.856045,Euro 2,Customer,Customer,1.207,82.346,00:03:08,05:09:05,01/03/2026 20:02,Late,ROOFTOP,1
01/03/2025,Nguyễn Văn An,Suzuki Super Carry Pro (Euro 2),2015,D-01,36,21.030682,105.856045,21.036633,105.849623,Euro 2,Customer,Customer,1.743,84.089,00:04:53,05:13:58,01/03/2026 20:17,Late,ROOFTOP,1
01/03/2025,Nguyễn Văn An,Suzuki Super Carry Pro (Euro 2),2015,D-01,37,21.036633,105.849623,21.022241,105.847497,Euro 2,Customer,Customer,2.203,86.292,00:05:58,05:19:56,01/03/2026 20:33,Late,ROOFTOP,1
01/03/2025,Trần Minh Tuấn,Thaco K165S (Euro 2),2012,D-02,2,21.042776,105.80316,21.031403,105.800806,Euro 2,Company,Customer,2.9,4.69,00:06:46,00:12:41,01/03/2026 09:06,On Time,APPROXIMATE,0.25
01/03/2025,Trần Minh Tuấn,Thaco K165S (Euro 2),2012,D-02,3,21.031403,105.800806,21.020153,105.791705,Euro 2,Customer,Customer,3.157,7.847,00:10:40,00:23:21,01/03/2026 09:27,On Time,ROOFTOP,1
01/03/2025,Trần Minh Tuấn,Thaco K165S (Euro 2),2012,D-02,4,21.020153,105.791705,21.035762,105.789213,Euro 2,Customer,Customer,2.619,10.466,00:09:31,00:32:52,01/03/2026 09:46,On Time,ROOFTOP,1
01/03/2025,Trần Minh Tuấn,Thaco K165S (Euro 2),2012,D-02,5,21.035762,105.789213,21.007422,105.800966,Euro 2,Customer,Customer,4.442,14.908,00:14:28,00:47:20,01/03/2026 10:11,On Time,ROOFTOP,1
01/03/2025,Trần Minh Tuấn,Thaco K165S (Euro 2),2012,D-02,6,21.007422,105.800966,21.032007,105.786762,Euro 2,Customer,Customer,4.136,19.044,00:13:44,01:01:04,01/03/2026 10:35,On Time,ROOFTOP,1
01/03/2025,Trần Minh Tuấn,Thaco K165S (Euro 2),2012,D-02,7,21.032007,105.786762,21.044911,105.775967,Euro 2,Customer,Customer,3.424,22.468,00:09:34,01:10:38,01/03/2026 10:54,On Time,ROOFTOP,1
01/03/2025,Trần Minh Tuấn,Thaco K165S (Euro 2),2012,D-02,8,21.044911,105.775967,21.030121,105.78419,Euro 2,Customer,Customer,2.634,25.102,00:10:02,01:20:40,01/03/2026 11:14,On Time,ROOFTOP,1
01/03/2025,Trần Minh Tuấn,Thaco K165S (Euro 2),2012,D-02,9,21.030121,105.78419,21.03196,105.788753,Euro 2,Customer,Customer,0.675,25.777,00:02:53,01:23:33,01/03/2026 11:27,On Time,ROOFTOP,1
01/03/2025,Trần Minh Tuấn,Thaco K165S (Euro 2),2012,D-02,10,21.03196,105.788753,21.036572,105.777159,Euro 2,Customer,Customer,2.473,28.25,00:08:53,01:32:26,01/03/2026 11:46,On Time,ROOFTOP,1
01/03/2025,Trần Minh Tuấn,Thaco K165S (Euro 2),2012,D-02,11,21.036572,105.777159,21.046419,105.78976,Euro 2,Customer,Customer,2.436,30.686,00:07:20,01:39:46,01/03/2026 12:03,On Time,GEOMETRIC_CENTER,0.5
01/03/2025,Trần Minh Tuấn,Thaco K165S (Euro 2),2012,D-02,12,21.046419,105.78976,21.03058,105.788625,Euro 2,Customer,Customer,2.878,33.564,00:11:21,01:51:07,01/03/2026 13:11,On Time,ROOFTOP,1
01/03/2025,Trần Minh Tuấn,Thaco K165S (Euro 2),2012,D-02,13,21.03058,105.788625,21.00339,105.792134,Euro 2,Customer,Customer,4.24,37.804,00:14:03,02:05:10,01/03/2026 13:35,On Time,GEOMETRIC_CENTER,0.5
01/03/2025,Trần Minh Tuấn,Thaco K165S (Euro 2),2012,D-02,14,21.00339,105.792134,21.029964,105.79651,Euro 2,Customer,Customer,5.32,43.124,00:15:20,02:20:30,01/03/2026 14:00,On Time,ROOFTOP,1
01/03/2025,Trần Minh Tuấn,Thaco K165S (Euro 2),2012,D-02,15,21.029964,105.79651,21.023026,105.792829,Euro 2,Customer,Customer,1.124,44.248,00:05:22,02:25:52,01/03/2026 14:15,On Time,ROOFTOP,1
01/03/2025,Trần Minh Tuấn,Thaco K165S (Euro 2),2012,D-02,16,21.023026,105.792829,21.037893,105.787075,Euro 2,Customer,Customer,2.416,46.664,00:08:48,02:34:40,01/03/2026 14:33,On Time,ROOFTOP,1
01/03/2025,Trần Minh Tuấn,Thaco K165S (Euro 2),2012,D-02,17,21.037893,105.787075,21.031443,105.791212,Euro 2,Customer,Customer,2.861,49.525,00:10:25,02:45:05,01/03/2026 14:52,On Time,ROOFTOP,1
01/03/2025,Trần Minh Tuấn,Thaco K165S (Euro 2),2012,D-02,18,21.031443,105.791212,21.035355,105.791958,Euro 2,Customer,Customer,0.712,50.237,00:03:06,02:48:11,01/03/2026 15:05,On Time,ROOFTOP,1
01/03/2025,Trần Minh Tuấn,Thaco K165S (Euro 2),2012,D-02,19,21.035355,105.791958,21.024471,105.789343,Euro 2,Customer,Customer,2.015,52.252,00:06:53,02:55:04,01/03/2026 15:22,On Time,ROOFTOP,1
01/03/2025,Trần Minh Tuấn,Thaco K165S (Euro 2),2012,D-02,20,21.024471,105.789343,21.014018,105.798021,Euro 2,Customer,Customer,2.054,54.306,00:06:46,03:01:50,01/03/2026 15:38,On Time,ROOFTOP,1
01/03/2025,Trần Minh Tuấn,Thaco K165S (Euro 2),2012,D-02,21,21.014018,105.798021,21.024137,105.79039,Euro 2,Customer,Customer,1.646,55.952,00:05:09,03:06:59,01/03/2026 15:53,On Time,ROOFTOP,1
01/03/2025,Trần Minh Tuấn,Thaco K165S (Euro 2),2012,D-02,22,21.024137,105.79039,21.036114,105.803305,Euro 2,Customer,Customer,3.802,59.754,00:10:58,03:17:57,01/03/2026 16:14,On Time,ROOFTOP,1
01/03/2025,Trần Minh Tuấn,Thaco K165S (Euro 2),2012,D-02,23,21.036114,105.803305,21.032365,105.788322,Euro 2,Customer,Customer,2.299,62.053,00:06:51,03:24:48,01/03/2026 16:30,On Time,ROOFTOP,1
01/03/2025,Trần Minh Tuấn,Thaco K165S (Euro 2),2012,D-02,24,21.032365,105.788322,21.035273,105.778716,Euro 2,Customer,Customer,2.246,64.299,00:05:21,03:30:09,01/03/2026 16:45,On Time,ROOFTOP,1
01/03/2025,Trần Minh Tuấn,Thaco K165S (Euro 2),2012,D-02,25,21.035273,105.778716,21.033119,105.788501,Euro 2,Customer,Customer,1.591,65.89,00:04:26,03:34:35,01/03/2026 17:00,On Time,ROOFTOP,1
01/03/2025,Trần Minh Tuấn,Thaco K165S (Euro 2),2012,D-02,26,21.033119,105.788501,21.031754,105.78458,Euro 2,Customer,Customer,0.768,66.658,00:02:42,03:37:17,01/03/2026 17:12,On Time,ROOFTOP,1
01/03/2025,Trần Minh Tuấn,Thaco K165S (Euro 2),2012,D-02,27,21.031754,105.78458,21.041368,105.777647,Euro 2,Customer,Customer,2.298,68.956,00:05:22,03:42:39,01/03/2026 17:27,On Time,ROOFTOP,1
01/03/2025,Trần Minh Tuấn,Thaco K165S (Euro 2),2012,D-02,28,21.041368,105.777647,21.05506,105.808757,Euro 2,Customer,Customer,5.416,74.372,00:11:48,03:54:27,01/03/2026 17:48,On Time,ROOFTOP,1
01/03/2025,Trần Minh Tuấn,Thaco K165S (Euro 2),2012,D-02,29,21.05506,105.808757,21.033012,105.788476,Euro 2,Customer,Customer,4.21,78.582,00:09:31,04:03:58,01/03/2026 18:08,On Time,ROOFTOP,1
01/03/2025,Trần Minh Tuấn,Thaco K165S (Euro 2),2012,D-02,30,21.033012,105.788476,21.034291,105.784754,Euro 2,Customer,Customer,1.478,80.06,00:04:17,04:08:15,01/03/2026 18:22,On Time,ROOFTOP,1
01/03/2025,Trần Minh Tuấn,Thaco K165S (Euro 2),2012,D-02,31,21.034291,105.784754,21.031407,105.786145,Euro 2,Customer,Customer,0.799,80.859,00:04:23,04:12:38,01/03/2026 18:36,Late,ROOFTOP,1
01/03/2025,Trần Minh Tuấn,Thaco K165S (Euro 2),2012,D-02,32,21.031407,105.786145,21.015346,105.801163,Euro 2,Customer,Customer,2.8,83.659,00:06:52,04:19:30,01/03/2026 18:53,Late,ROOFTOP,1
01/03/2025,Trần Minh Tuấn,Thaco K165S (Euro 2),2012,D-02,33,21.015346,105.801163,21.017768,105.790553,Euro 2,Customer,Customer,1.421,85.08,00:03:36,04:23:06,01/03/2026 19:06,Late,ROOFTOP,1
01/03/2025,Trần Minh Tuấn,Thaco K165S (Euro 2),2012,D-02,34,21.017768,105.790553,21.032244,105.786987,Euro 2,Customer,Customer,2.043,87.123,00:05:00,04:28:06,01/03/2026 19:21,Late,ROOFTOP,1
